day,category,title,main,answer_or_note
57,sentence,Day 57 암기문장,The new checklist will help staff avoid common filing errors.,정답 문장: The new checklist will help staff avoid common filing errors.
57,grammar,help의 목적격 보어,help 뒤에는 동사원형 또는 to부정사가 가능합니다.,help + 목적어 + 동사원형 avoid가 맞습니다.
57,practice,Part 5 실전문제,The new checklist will help staff _____ common filing errors.,avoid
58,vocab,undergo,"겪다, 받다",The main lobby is undergoing extensive renovation.
58,expression,bring to one’s attention,~에게 알리다,We would like to bring this billing error to your attention.
58,sentence,Day 58 암기문장,Remote employees are used to attending meetings by video conference.,정답 문장: Remote employees are used to attending meetings by video conference.
58,grammar,used to와 be used to,be used to 뒤에는 명사/동명사가 옵니다.,be used to에서 to는 전치사이므로 attending이 맞습니다.
58,practice,Part 5 실전문제,Remote employees are used to _____ meetings by video conference.,attending
59,vocab,anticipate,예상하다,Analysts anticipate strong demand during the holiday season.
59,expression,keep track of,~을 계속 파악하다,The app helps users keep track of monthly expenses.
59,sentence,Day 59 암기문장,The package was too large to fit in the standard locker.,정답 문장: The package was too large to fit in the standard locker.
59,grammar,too ... to,too + 형용사 + to부정사는 ‘너무 ~해서 …할 수 없다’입니다.,too large to fit 구조가 맞습니다.
59,practice,Part 5 실전문제,The package was too large _____ in the standard locker.,to fit
60,vocab,forecast,"예측, 예측하다",The latest forecast indicates moderate growth in exports.
60,expression,make up for,"~을 보상하다, 만회하다",The supplier offered a discount to make up for the delay.
60,sentence,Day 60 암기문장,The instructions are clear enough for new users to follow without assistance.,정답 문장: The instructions are clear enough for new users to follow without assistance.
60,grammar,형용사 enough to,형용사 뒤의 enough + to부정사 구조입니다.,for + 목적어 + to부정사 구조가 맞습니다.
60,practice,Part 5 실전문제,The instructions are clear enough for new users _____ without assistance.,to follow
61,vocab,fluctuate,변동하다,Fuel prices tend to fluctuate throughout the year.
61,expression,come up with,~을 생각해 내다,The design team came up with a more efficient layout.
61,sentence,Day 61 암기문장,It was such a successful campaign that the company extended it for another month.,정답 문장: It was such a successful campaign that the company extended it for another month.
61,grammar,so와 such,such + 관사 + 형용사 + 명사 구조를 익힙니다.,a successful campaign이라는 명사구 앞에는 such가 맞습니다.
61,practice,Part 5 실전문제,It was _____ a successful campaign that the company extended it for another month.,such
62,vocab,revenue,"수익, 매출",Advertising revenue rose significantly in the second quarter.
62,expression,carry out,수행하다,An independent firm will carry out the inspection.
62,sentence,Day 62 암기문장,The new model operates more quietly than its predecessor.,정답 문장: The new model operates more quietly than its predecessor.
62,grammar,비교급 than,than이 있으면 비교급 형태가 필요합니다.,동사 operates를 수식하고 more와 결합하므로 quietly가 맞습니다.
62,practice,Part 5 실전문제,The new model operates more _____ than its predecessor.,quietly
63,vocab,expenditure,지출,Capital expenditures must be approved by the finance committee.
63,expression,look into,조사하다,Our technical team is looking into the connection issue.
63,sentence,Day 63 암기문장,This is one of the most innovative proposals submitted this year.,정답 문장: This is one of the most innovative proposals submitted this year.
63,grammar,최상급 one of,one of the + 최상급 + 복수명사 구조입니다.,proposals를 수식하는 형용사 innovative가 필요합니다.
63,practice,Part 5 실전문제,This is one of the most _____ proposals submitted this year.,innovative
64,vocab,margin,"이윤 폭, 여백",The retailer increased its profit margin by reducing shipping costs.
64,expression,follow up on,~을 후속 확인하다,I am writing to follow up on our previous discussion.
64,sentence,Day 64 암기문장,The replacement part is not as expensive as the original component.,정답 문장: The replacement part is not as expensive as the original component.
64,grammar,as ... as,동등 비교는 as + 원급 + as입니다.,not as + 형용사 + as 구조가 맞습니다.
64,practice,Part 5 실전문제,The replacement part is not as expensive _____ the original component.,as
65,vocab,transaction,거래,Customers can review recent transactions through the mobile app.
65,expression,fill out,양식을 작성하다,Please fill out the registration form completely.
65,sentence,Day 65 암기문장,"The more thoroughly the data are reviewed, the more reliable the forecast will be.","정답 문장: The more thoroughly the data are reviewed, the more reliable the forecast will be."
65,grammar,"the more, the more",비례 비교 구문을 익힙니다.,"the more ..., the more ... 구조로 more reliable이 맞습니다."
65,practice,Part 5 실전문제,"The more thoroughly the data are reviewed, the _____ the forecast will be.",more reliable
66,vocab,authorize,"승인하다, 권한을 부여하다",Only department heads are authorized to approve overtime requests.
66,expression,set up,"설치하다, 마련하다",The IT team will set up the new workstations tomorrow.
66,sentence,Day 66 암기문장,The automated system requires fewer manual entries than the old one.,정답 문장: The automated system requires fewer manual entries than the old one.
66,grammar,fewer와 less,셀 수 있는 복수명사에는 fewer를 씁니다.,entries는 가산 복수명사이므로 fewer가 맞습니다.
66,practice,Part 5 실전문제,The automated system requires _____ manual entries than the old one.,fewer
67,vocab,verify,"확인하다, 검증하다",Please verify your contact information before submitting the form.
67,expression,phase out,단계적으로 폐지하다,The company plans to phase out paper invoices.
67,sentence,Day 67 암기문장,The client requested another copy of the signed agreement.,정답 문장: The client requested another copy of the signed agreement.
67,grammar,another/other,"another 뒤에는 단수명사, other 뒤에는 복수명사 또는 불가산명사가 옵니다.",단수명사 copy 앞에는 another가 맞습니다.
67,practice,Part 5 실전문제,The client requested _____ copy of the signed agreement.,another
68,vocab,authenticate,인증하다,Users must authenticate their identity before accessing the database.
68,expression,roll out,"출시하다, 도입하다",The bank will roll out a new mobile service nationwide.
68,sentence,Day 68 암기문장,"The samples were labeled, and each was placed in a separate container.","정답 문장: The samples were labeled, and each was placed in a separate container."
68,grammar,each/every,each는 대명사로 단독 사용 가능하며 단수 취급합니다.,대명사로 단독 사용되고 단수 동사 was와 호응하므로 each입니다.
68,practice,Part 5 실전문제,"The samples were labeled, and _____ was placed in a separate container.",each
69,vocab,submit,제출하다,All expense reports must be submitted by the end of the month.
69,expression,turn down,"거절하다, 낮추다",The candidate turned down the job offer.
69,sentence,Day 69 암기문장,Neither of the two meeting rooms is available this afternoon.,정답 문장: Neither of the two meeting rooms is available this afternoon.
69,grammar,either/neither,둘 중 어느 것도 아니면 neither를 씁니다.,두 회의실 모두 이용할 수 없다는 의미와 단수 동사 is에 맞는 Neither입니다.
69,practice,Part 5 실전문제,_____ of the two meeting rooms is available this afternoon.,Neither
70,vocab,enclose,동봉하다,Please enclose a copy of the receipt with your claim form.
70,expression,put off,연기하다,The outdoor event was put off because of rain.
70,sentence,Day 70 암기문장,The supervisor discussed the revised schedule with Maria and me.,정답 문장: The supervisor discussed the revised schedule with Maria and me.
70,grammar,대명사 격,전치사 뒤에는 목적격 대명사가 옵니다.,전치사 with의 목적어이므로 목적격 me가 맞습니다.
70,practice,Part 5 실전문제,The supervisor discussed the revised schedule with Maria and _____.,me
71,vocab,attach,첨부하다,I have attached the revised contract for your review.
71,expression,run out of,~이 다 떨어지다,The warehouse has run out of packing materials.
71,sentence,Day 71 암기문장,The director prepared the presentation herself because the assistant was absent.,정답 문장: The director prepared the presentation herself because the assistant was absent.
71,grammar,재귀대명사,주어와 목적어가 같거나 강조할 때 재귀대명사를 씁니다.,director 자신이 직접 준비했다는 강조이므로 herself입니다.
71,practice,Part 5 실전문제,The director prepared the presentation _____ because the assistant was absent.,herself
72,vocab,amendment,"수정, 개정 조항",The amendment extends the contract for another six months.
72,expression,be entitled to,~을 받을 권리가 있다,Passengers are entitled to compensation for lengthy delays.
72,sentence,Day 72 암기문장,Our conference room is larger than theirs.,정답 문장: Our conference room is larger than theirs.
72,grammar,소유대명사,명사 없이 소유 관계를 대신하면 소유대명사를 씁니다.,their conference room을 대신하는 소유대명사 theirs가 맞습니다.
72,practice,Part 5 실전문제,Our conference room is larger than _____.,theirs
73,vocab,provision,"조항, 제공",The agreement contains a provision for early termination.
73,expression,be exempt from,~이 면제되다,Children under five are exempt from the admission fee.
73,sentence,Day 73 암기문장,"Some applicants submitted portfolios, while others provided links to online work.","정답 문장: Some applicants submitted portfolios, while others provided links to online work."
73,grammar,another/others,others는 ‘다른 사람들/것들’로 명사 없이 쓰입니다.,복수의 다른 지원자들을 가리키는 대명사 others가 맞습니다.
73,practice,Part 5 실전문제,"Some applicants submitted portfolios, while _____ provided links to online work.",others
74,vocab,clause,"조항, 절",The confidentiality clause remains in effect after employment ends.
74,expression,be equipped with,~을 갖추고 있다,Every meeting room is equipped with video conferencing tools.
74,sentence,Day 74 암기문장,We still have a few seats available for Friday’s seminar.,정답 문장: We still have a few seats available for Friday’s seminar.
74,grammar,few/a few,a few는 ‘몇몇 있는’ 긍정 의미입니다.,좌석이 조금 남아 있다는 긍정 의미이므로 a few가 맞습니다.
74,practice,Part 5 실전문제,We still have _____ seats available for Friday’s seminar.,a few
75,vocab,violation,위반,Repeated violations of the policy may result in disciplinary action.
75,expression,be familiar with,~에 익숙하다,Applicants should be familiar with spreadsheet software.
75,sentence,Day 75 암기문장,There is a little time left to revise the proposal before the meeting.,정답 문장: There is a little time left to revise the proposal before the meeting.
75,grammar,little/a little,a little은 불가산명사와 함께 ‘조금 있는’ 의미입니다.,time은 불가산이며 조금 남아 있다는 의미이므로 a little입니다.
75,practice,Part 5 실전문제,There is _____ time left to revise the proposal before the meeting.,a little
76,vocab,liability,"법적 책임, 부채",The insurer denied liability for damage caused by improper use.
76,expression,be capable of,~할 능력이 있다,The machine is capable of processing 500 packages per hour.
76,sentence,Day 76 암기문장,How many applicants were invited to the second interview?,정답 문장: How many applicants were invited to the second interview?
76,grammar,many/much,가산 복수명사에는 many를 씁니다.,applicants는 가산 복수명사이므로 many가 맞습니다.
76,practice,Part 5 실전문제,How _____ applicants were invited to the second interview?,many
77,vocab,secure,"확보하다, 안전한",The team secured additional funding for the research project.
77,expression,be subject to,~의 적용을 받다,International orders are subject to additional customs fees.
77,sentence,Day 77 암기문장,The number of online orders increased sharply after the promotion began.,정답 문장: The number of online orders increased sharply after the promotion began.
77,grammar,amount/number,가산 복수명사의 수에는 number를 씁니다.,주어 핵심은 The number 단수이고 과거 문맥이므로 increased가 맞습니다.
77,practice,Part 5 실전문제,The number of online orders _____ sharply after the promotion began.,increased
78,vocab,accessible,접근 가능한,The online manual is accessible from any authorized device.
78,expression,be available for,~에 이용 가능하다,The conference room is available for private events on weekends.
78,sentence,Day 78 암기문장,The company hired an experienced auditor to review its records.,정답 문장: The company hired an experienced auditor to review its records.
78,grammar,관사 a/an,철자가 아니라 첫소리로 a/an을 결정합니다.,experienced는 모음 소리로 시작하므로 an이 맞습니다.
78,practice,Part 5 실전문제,The company hired _____ experienced auditor to review its records.,an
79,vocab,compatible,호환되는,The software is compatible with most operating systems.
79,expression,be located in,~에 위치하다,The customer service desk is located in the main lobby.
79,sentence,Day 79 암기문장,Please return the key to the reception desk before checking out.,정답 문장: Please return the key to the reception desk before checking out.
79,grammar,정관사 the,서로 알고 있는 특정 대상을 가리킬 때 the를 씁니다.,호텔의 특정 접수대를 가리키므로 the가 맞습니다.
79,practice,Part 5 실전문제,Please return the key to _____ reception desk before checking out.,the
80,vocab,upgrade,"개선, 업그레이드하다",The hotel upgraded several rooms during the off-season.
80,expression,be committed to,~에 전념하다,The company is committed to reducing its environmental impact.
80,sentence,Day 80 암기문장,Employees are encouraged to update their passwords regularly.,정답 문장: Employees are encouraged to update their passwords regularly.
80,grammar,무관사 복수 일반화,복수명사를 일반적으로 말할 때 관사를 쓰지 않습니다.,직원 일반을 가리키는 복수명사이므로 무관사가 맞습니다.
80,practice,Part 5 실전문제,_____ employees are encouraged to update their passwords regularly.,No article
81,vocab,maintenance,유지보수,Routine maintenance will be performed on the elevators tonight.
81,expression,be concerned about,~을 걱정하다,Several residents are concerned about increased traffic.
81,sentence,Day 81 암기문장,Ms. Lee plans to apply for the vacant analyst position.,정답 문장: Ms. Lee plans to apply for the vacant analyst position.
81,grammar,전치사 apply for/to,"직무·지원금은 apply for, 기관은 apply to입니다.",지원하는 직책 앞에는 apply for를 씁니다.
81,practice,Part 5 실전문제,Ms. Lee plans to apply _____ the vacant analyst position.,for
82,vocab,outage,"서비스 중단, 정전",A brief network outage affected online orders.
82,expression,be pleased with,~에 만족하다,Most clients were pleased with the revised design.
82,sentence,Day 82 암기문장,More than fifty vendors will participate in the trade exhibition.,정답 문장: More than fifty vendors will participate in the trade exhibition.
82,grammar,전치사 participate in,participate는 in과 함께 씁니다.,participate in이 고정 결합입니다.
82,practice,Part 5 실전문제,More than fifty vendors will participate _____ the trade exhibition.,in
83,vocab,troubleshoot,문제를 진단하고 해결하다,A technician was sent to troubleshoot the connection problem.
83,expression,be accompanied by,~을 동반하다,The application must be accompanied by two references.
83,sentence,Day 83 암기문장,The training program consists of four online modules and one workshop.,정답 문장: The training program consists of four online modules and one workshop.
83,grammar,전치사 consist of,consist는 수동태로 쓰지 않고 of를 취합니다.,consist of가 고정 표현입니다.
83,practice,Part 5 실전문제,The training program consists _____ four online modules and one workshop.,of
84,vocab,install,설치하다,The contractor will install energy-efficient lighting throughout the office.
84,expression,be based on,~에 근거하다,The estimate is based on current material prices.
84,sentence,Day 84 암기문장,Improved packaging contributed to a reduction in damaged goods.,정답 문장: Improved packaging contributed to a reduction in damaged goods.
84,grammar,전치사 contribute to,contribute to에서 to는 전치사입니다.,contribute to가 ‘~에 기여하다’입니다.
84,practice,Part 5 실전문제,Improved packaging contributed _____ a reduction in damaged goods.,to
85,vocab,subscription,구독,Your annual subscription includes access to all premium reports.
85,expression,be involved in,~에 관여하다,Ms. Chen has been involved in the project since its launch.
85,sentence,Day 85 암기문장,Authorized users may access the database from outside the office.,정답 문장: Authorized users may access the database from outside the office.
85,grammar,전치사 access,access는 타동사이므로 전치사 없이 목적어를 취합니다.,동사 access는 바로 목적어 the database를 취합니다.
85,practice,Part 5 실전문제,Authorized users may _____ the database from outside the office.,access
86,vocab,renew,갱신하다,Members can renew their memberships online.
86,expression,be known for,~로 알려져 있다,The restaurant is known for its efficient service.
86,sentence,Day 86 암기문장,The consultant advised us to review the contract carefully before signing it.,정답 문장: The consultant advised us to review the contract carefully before signing it.
86,grammar,어휘: advise/advice,"advise는 동사, advice는 불가산 명사입니다.",advise + 목적어 + to부정사 구조입니다.
86,practice,Part 5 실전문제,The consultant advised us _____ the contract carefully before signing it.,to review
87,vocab,terminate,"종료하다, 해고하다",Either party may terminate the agreement with thirty days’ notice.
87,expression,be satisfied with,~에 만족하다,Customers were satisfied with the speed of delivery.
87,sentence,Day 87 암기문장,The new tax regulation may affect small retailers more than large chains.,정답 문장: The new tax regulation may affect small retailers more than large chains.
87,grammar,어휘: affect/effect,"affect는 주로 동사, effect는 주로 명사입니다.",may 뒤 동사원형이며 ‘영향을 미치다’이므로 affect입니다.
87,practice,Part 5 실전문제,The new tax regulation may _____ small retailers more than large chains.,affect
88,vocab,negotiate,협상하다,The purchasing manager negotiated a lower price with the supplier.
88,expression,be suitable for,~에 적합하다,This software is suitable for small and midsize businesses.
88,sentence,Day 88 암기문장,The supplier plans to raise prices by five percent next quarter.,정답 문장: The supplier plans to raise prices by five percent next quarter.
88,grammar,어휘: rise/raise,raise는 목적어를 취하는 타동사입니다.,목적어 prices를 취하므로 타동사 raise가 맞습니다.
88,practice,Part 5 실전문제,The supplier plans to _____ prices by five percent next quarter.,raise
89,vocab,quotation,"견적서, 인용문",We requested quotations from three printing companies.
89,expression,be relevant to,~과 관련이 있다,Please include only information relevant to the position.
89,sentence,Day 89 암기문장,Employees may borrow a laptop from the equipment desk for business travel.,정답 문장: Employees may borrow a laptop from the equipment desk for business travel.
89,grammar,어휘: borrow/lend,"borrow는 빌리는 사람 관점, lend는 빌려주는 관점입니다.",장비 데스크에서 빌리는 것이므로 borrow가 맞습니다.
89,practice,Part 5 실전문제,Employees may _____ a laptop from the equipment desk for business travel.,borrow
90,vocab,estimate,"견적, 추산하다",The contractor provided an estimate for the repair work.
90,expression,be opposed to,~에 반대하다,Some employees are opposed to changing the work schedule.
90,sentence,Day 90 암기문장,Please tell the receptionist that your appointment has been rescheduled.,정답 문장: Please tell the receptionist that your appointment has been rescheduled.
90,grammar,어휘: say/tell,tell은 사람 목적어를 직접 취합니다.,tell + 사람 + that절 구조입니다.
90,practice,Part 5 실전문제,Please _____ the receptionist that your appointment has been rescheduled.,tell
91,vocab,bid,"입찰, 입찰하다",Five firms submitted bids for the construction project.
91,expression,be aware of,~을 알고 있다,All staff should be aware of the revised privacy rules.
91,sentence,Day 91 암기문장,The airline will notify passengers of any gate changes by text message.,정답 문장: The airline will notify passengers of any gate changes by text message.
91,grammar,어휘: notify/announce,notify는 사람 목적어를 취하고 of/about을 이어 씁니다.,notify passengers of changes가 올바른 구조입니다.
91,practice,Part 5 실전문제,The airline will _____ passengers of any gate changes by text message.,notify
92,vocab,contract,"계약, 계약하다",The company signed a three-year contract with a logistics provider.
92,expression,be dependent on,~에 의존하다,The launch date is dependent on final regulatory approval.
92,sentence,Day 92 암기문장,All department heads are expected to attend the quarterly budget meeting.,정답 문장: All department heads are expected to attend the quarterly budget meeting.
92,grammar,어휘: attend/participate,attend는 타동사로 전치사 없이 행사 목적어를 취합니다.,attend the meeting처럼 전치사 없이 씁니다.
92,practice,Part 5 실전문제,All department heads are expected to _____ the quarterly budget meeting.,attend
93,vocab,supplier,공급업체,The supplier agreed to replace the defective components.
93,expression,be indicative of,~을 나타내다,The increase in inquiries is indicative of strong demand.
93,sentence,Day 93 암기문장,The shipment is expected to reach the distribution center by noon.,정답 문장: The shipment is expected to reach the distribution center by noon.
93,grammar,어휘: reach/arrive,reach는 타동사로 전치사 없이 목적어를 취합니다.,빈칸 뒤 목적어가 바로 있으므로 reach가 맞습니다.
93,practice,Part 5 실전문제,The shipment is expected to _____ the distribution center by noon.,reach
94,vocab,vendor,"판매업체, 공급업체",Food vendors must obtain permits before the festival.
94,expression,come into effect,효력이 발생하다,The new labor regulations come into effect next month.
94,sentence,Day 94 암기문장,The committee will discuss the proposed schedule at tomorrow’s meeting.,정답 문장: The committee will discuss the proposed schedule at tomorrow’s meeting.
94,grammar,어휘: discuss,discuss는 타동사로 about 없이 목적어를 취합니다.,discuss the proposal처럼 about을 쓰지 않습니다.
94,practice,Part 5 실전문제,The committee will _____ the proposed schedule at tomorrow’s meeting.,discuss
95,vocab,distributor,유통업체,The manufacturer appointed a new distributor for the region.
95,expression,come to an end,끝나다,The promotional period will come to an end on Friday.
95,sentence,Day 95 암기문장,The technician explained the installation process to the new staff.,정답 문장: The technician explained the installation process to the new staff.
95,grammar,어휘: explain,explain 사항 to 사람 구조를 사용합니다.,explain A to B가 올바른 구조입니다.
95,practice,Part 5 실전문제,The technician explained the installation process _____ the new staff.,to
96,vocab,retailer,소매업체,The retailer plans to open twenty new stores next year.
96,expression,come to a decision,결정을 내리다,The board expects to come to a decision by noon.
96,sentence,Day 96 암기문장,A revised employee handbook will be distributed next week. It includes updated procedures for remote work.,정답 문장: A revised employee handbook will be distributed next week. It includes updated procedures for remote work.
96,grammar,Part 6 문맥: 대명사 지시,앞 문장의 단수 사물을 받는 대명사를 선택합니다.,앞의 단수 명사 handbook을 받으므로 It이 맞습니다.
96,practice,Part 6 실전문제,A revised employee handbook will be distributed next week. _____ includes updated procedures for remote work.,It
97,vocab,consumer,소비자,Consumer demand for eco-friendly products continues to grow.
97,expression,go into detail,자세히 설명하다,The report goes into detail about projected costs.
97,sentence,Day 97 암기문장,"The seminar is free for members. However, advance registration is required because seating is limited.","정답 문장: The seminar is free for members. However, advance registration is required because seating is limited."
97,grammar,Part 6 문맥: 전환,반대되는 내용을 연결하는 전환어를 선택합니다.,무료라는 사실과 별개로 등록이 필요하다는 전환이므로 However입니다.
97,practice,Part 6 실전문제,"The seminar is free for members. _____, advance registration is required because seating is limited.",However
98,vocab,feedback,"의견, 피드백",Customer feedback helped us improve the online checkout process.
98,expression,have access to,~에 접근할 수 있다,Only authorized personnel have access to the archive.
98,sentence,Day 98 암기문장,"The downtown branch will be closed for renovation. Consequently, customers should use the Riverside location until September.","정답 문장: The downtown branch will be closed for renovation. Consequently, customers should use the Riverside location until September."
98,grammar,Part 6 문맥: 결과,앞 문장의 원인에 따른 결과를 연결합니다.,지점 폐쇄의 결과로 다른 지점을 이용해야 하므로 Consequently입니다.
98,practice,Part 6 실전문제,"The downtown branch will be closed for renovation. _____, customers should use the Riverside location until September.",Consequently
99,vocab,initiative,"계획, 주도권",The recycling initiative reduced office waste by thirty percent.
99,expression,have difficulty -ing,~하는 데 어려움을 겪다,Some users had difficulty installing the update.
99,sentence,Day 99 암기문장,The recycling initiative reduced office waste by thirty percent.,재활용 계획은 사무실 폐기물을 30퍼센트 줄였다.
99,grammar,Part 6 문장삽입,대명사와 시간 흐름이 자연스러운 위치를 판단합니다.,This는 old system이 10월 15일까지 접근 가능하다는 바로 앞 내용을 가리키므로 [4]가 적절합니다.
99,practice,Part 6 실전문제,The company will introduce a new expense-reporting system on October 1. [1] Training sessions will be offered during the final week of September. [2] Employees should register through the internal portal. [3] The old system will remain accessible until October 15. [4] Where should the sentence ‘This will give staff two weeks to transfer unfinished reports.’ be inserted?,[4]
100,vocab,benchmark,"기준점, 벤치마크",The report establishes a benchmark for future performance reviews.
100,expression,have an impact on,~에 영향을 미치다,Rising fuel costs have an impact on delivery fees.
100,sentence,Day 100 암기문장,The report establishes a benchmark for future performance reviews.,그 보고서는 향후 성과 검토를 위한 기준점을 세운다.
100,grammar,Part 7 추론,공지의 목적과 세부사항을 종합해 추론합니다.,서쪽 주차장이 공사 중이며 북쪽 입구를 이용하라고 했으므로 서쪽 주차장을 피해야 합니다.
100,practice,Part 7 실전문제,NOTICE: The west parking lot will be resurfaced from August 12 to 14. Employees should use the north entrance and display their permits on the dashboard. Visitor spaces will be temporarily available beside Building C. What is implied about employees during the work?,They should park away from the west lot.
