category,number,title,body,meta,options,answer,explanation
bible,32,큰 사람은 섬김을 받기보다 섬기는 사람이다.,예슈아께서는 권력을 자기 높임에 쓰지 않고 많은 사람을 위해 자신을 내어주는 섬김의 길을 보이셨습니다.,마가복음 10장 42–45절 핵심 의미 요약,,,
bible,33,하나님의 자비를 받은 사람은 다른 사람에게도 자비를 베푼다.,판단과 정죄를 앞세우기보다 아버지 하나님의 긍휼을 닮아 용서와 선의를 실천하라는 가르침입니다.,누가복음 6장 36–38절 핵심 의미 요약,,,
bible,34,이웃은 가까운 사람이 아니라 내가 자비를 베푸는 사람이다.,선한 사마리아인의 비유는 경계를 넘어 고통받는 사람에게 실제 도움을 주는 것이 이웃 사랑임을 보여줍니다.,누가복음 10장 25–37절 핵심 의미 요약,,,
bible,35,돌아오는 자를 아버지는 기쁨으로 맞으신다.,잃은 아들의 비유는 회개하고 돌아오는 사람을 향한 하나님의 용서와 회복의 기쁨을 보여줍니다.,누가복음 15장 11–32절 핵심 의미 요약,,,
bible,36,말씀이 육신이 되어 우리 가운데 거하셨다.,"하나님의 자기계시가 추상적 관념에 머물지 않고 예슈아 안에서 사람 가운데 나타났으며, 은혜와 진리가 드러났다는 선언입니다.",요한복음 1장 1–14절 핵심 의미 요약,,,
bible,37,예슈아를 따르는 자는 어둠에 머물지 않는다.,세상의 빛이신 예슈아를 따른다는 것은 그분의 진리와 생명 안에서 삶의 방향을 얻는다는 뜻입니다.,요한복음 8장 12절 핵심 의미 요약,,,
bible,38,예슈아가 주시는 생명은 충만함을 향한다.,도둑이 빼앗고 파괴하는 것과 달리 예슈아는 자기 백성에게 참된 생명과 보호를 주기 위해 오셨습니다.,요한복음 10장 10–11절 핵심 의미 요약,,,
bible,39,마음이 흔들릴 때 하나님과 예슈아를 신뢰하라.,제자들이 이별과 불확실성 앞에 있을 때 예슈아께서는 두려움에 사로잡히지 말고 하나님의 약속을 믿으라고 하셨습니다.,요한복음 14장 1–3절 핵심 의미 요약,,,
bible,40,예슈아는 길과 진리와 생명으로 자신을 계시하셨다.,하나님께 나아가는 길은 단순한 지식이나 규칙이 아니라 예슈아 자신과의 관계 안에 있다는 선언입니다.,요한복음 14장 6절 핵심 의미 요약,,,
bible,41,열매는 예슈아 안에 거하는 관계에서 나온다.,"가지가 포도나무를 떠나 열매 맺을 수 없듯이, 제자의 삶과 선한 열매는 예슈아와의 지속적인 연합에서 나옵니다.",요한복음 15장 4–5절 핵심 의미 요약,,,
bible,42,세상에 환난이 있어도 담대할 근거가 있다.,예슈아께서는 어려움이 없다고 약속하지 않으셨습니다. 다만 자신이 세상을 이기셨으므로 그 안에서 평안을 누리라고 하셨습니다.,요한복음 16장 33절 핵심 의미 요약,,,
bible,43,하나님의 사랑은 우리가 자격을 갖춘 뒤 시작된 것이 아니다.,우리가 죄 가운데 있을 때 그리스도께서 우리를 위해 죽으신 사건은 하나님의 사랑이 먼저 다가온 은혜임을 보여줍니다.,로마서 5장 8절 핵심 의미 요약,,,
bible,44,하나님은 모든 일을 선하신 목적 안에서 엮어 가신다.,"모든 사건 자체가 선하다는 뜻이 아니라, 하나님을 사랑하고 부르심을 받은 자의 삶을 그분의 목적 안에서 사용하신다는 소망입니다.",로마서 8장 28절 핵심 의미 요약,,,
bible,45,마음이 새로워질 때 세상의 틀을 분별할 수 있다.,"주변의 기준을 무비판적으로 따르지 말고, 생각이 변화되어 하나님의 뜻이 무엇인지 분별하라는 권면입니다.",로마서 12장 1–2절 핵심 의미 요약,,,
bible,46,사랑은 감정만이 아니라 오래 참고 선을 선택하는 태도다.,성경이 말하는 사랑은 자기 자랑과 무례를 버리고 진리와 함께 기뻐하며 상대의 유익을 구하는 지속적인 행동입니다.,고린도전서 13장 4–7절 핵심 의미 요약,,,
bible,47,성령의 열매는 성품과 관계 속에서 드러난다.,"사랑, 기쁨, 평안, 오래 참음과 같은 열매는 단순한 감정이 아니라 성령을 따라 사는 삶에서 자라나는 성품입니다.",갈라디아서 5장 22–23절 핵심 의미 요약,,,
bible,48,염려를 기도와 감사로 하나님께 아뢰라.,"걱정을 부정하거나 숨기지 말고 구체적으로 하나님께 맡길 때, 이해를 넘어서는 평강이 마음과 생각을 지킨다는 약속입니다.",빌립보서 4장 6–7절 핵심 의미 요약,,,
bible,49,믿음의 경주는 짐을 벗고 인내로 달리는 길이다.,"쉽게 얽매이게 하는 것을 내려놓고, 믿음의 시작과 완성이신 예슈아를 바라보며 맡겨진 길을 끝까지 달리라는 권면입니다.",히브리서 12장 1–2절 핵심 의미 요약,,,
bible,50,하나님은 마지막에 눈물과 죽음을 없애실 것이다.,새 창조의 소망은 고통이 영원하지 않으며 하나님이 자기 백성과 함께 거하시고 모든 것을 새롭게 하신다는 약속에 있습니다.,요한계시록 21장 1–5절 핵심 의미 요약,,,
quiz,1,영어 표현 퀴즈,‘천천히 하세요’에 가장 가까운 표현은 무엇일까요?,정답을 눌러보세요.,Take your time. | Time is over. | Make a time. | Take the clock.,0,Take your time은 ‘서두르지 말고 천천히 하세요’라는 뜻입니다.
quiz,2,달력 상식 퀴즈,1년 중 날짜 수가 가장 적은 달은 무엇일까요?,정답을 눌러보세요.,1월 | 2월 | 6월 | 11월,1,"2월은 평년 28일, 윤년 29일로 다른 달보다 짧습니다."
quiz,3,분류 퀴즈,다음 중 나머지 셋과 성격이 다른 하나는 무엇일까요?,정답을 눌러보세요.,사과 | 배 | 당근 | 포도,2,당근은 채소이고 나머지는 과일입니다.
quiz,4,빠른 계산,7 × 8의 값은 무엇일까요?,암산으로 풀어보세요.,48 | 54 | 56 | 64,2,7 × 8은 56입니다.
quiz,5,과학 상식 퀴즈,표준 대기압에서 물이 어는 온도는 섭씨 몇 도일까요?,정답을 눌러보세요.,0도 | 10도 | 32도 | 100도,0,표준 대기압에서 순수한 물의 어는점은 섭씨 0도입니다.
quiz,6,시간 계산 퀴즈,1시간은 몇 분일까요?,정답을 눌러보세요.,30분 | 50분 | 60분 | 100분,2,1시간은 60분입니다.
quiz,7,성경 기초 퀴즈,성경의 첫 번째 책은 무엇일까요?,정답을 눌러보세요.,출애굽기 | 창세기 | 시편 | 마태복음,1,성경의 첫 번째 책은 창세기입니다.
quiz,8,신약 기초 퀴즈,신약성경의 첫 번째 책은 무엇일까요?,정답을 눌러보세요.,마태복음 | 사도행전 | 로마서 | 요한복음,0,신약성경은 마태복음으로 시작합니다.
quiz,9,성경 이야기 퀴즈,선한 사마리아인의 비유가 기록된 복음서는 무엇일까요?,정답을 눌러보세요.,마태복음 | 마가복음 | 누가복음 | 요한복음,2,선한 사마리아인의 비유는 누가복음 10장에 기록되어 있습니다.
quiz,10,시편 퀴즈,‘여호와는 나의 목자’라는 고백으로 잘 알려진 시편은 몇 편일까요?,정답을 눌러보세요.,시편 1편 | 시편 23편 | 시편 51편 | 시편 119편,1,목자에 대한 고백은 시편 23편에 나옵니다.
quiz,11,영어 반대말 퀴즈,영어 단어 ‘borrow’와 반대 방향의 뜻을 가진 단어는 무엇일까요?,정답을 눌러보세요.,lend | keep | buy | bring,0,"borrow는 빌리다, lend는 빌려주다라는 뜻입니다."
quiz,12,영어 과거형 퀴즈,동사 ‘go’의 과거형은 무엇일까요?,정답을 눌러보세요.,goed | gone | went | going,2,"go의 과거형은 went이고, 과거분사는 gone입니다."
quiz,13,영어 복수형 퀴즈,영어 단어 ‘child’의 복수형은 무엇일까요?,정답을 눌러보세요.,childs | childes | children | childrens,2,child의 불규칙 복수형은 children입니다.
quiz,14,이동 영어 퀴즈,‘I’m on my way.’의 뜻으로 가장 알맞은 것은 무엇일까요?,정답을 눌러보세요.,길을 잃었어요. | 지금 가는 중이에요. | 집에 있고 싶어요. | 방법을 알고 있어요.,1,I’m on my way는 목적지로 가는 중이라는 뜻입니다.
quiz,15,단위 퀴즈,1킬로미터는 몇 미터일까요?,정답을 눌러보세요.,"100미터 | 500미터 | 1,000미터 | 10,000미터",2,"1킬로미터는 1,000미터입니다."
quiz,16,도형 퀴즈,평면 위 삼각형의 세 내각의 합은 몇 도일까요?,정답을 눌러보세요.,90도 | 180도 | 270도 | 360도,1,유클리드 평면에서 삼각형의 내각의 합은 180도입니다.
quiz,17,묶음 계산 퀴즈,세 다스는 모두 몇 개일까요?,정답을 눌러보세요.,24개 | 30개 | 36개 | 48개,2,한 다스는 12개이므로 세 다스는 36개입니다.
quiz,18,태양계 퀴즈,태양에 가장 가까운 행성은 무엇일까요?,정답을 눌러보세요.,금성 | 지구 | 수성 | 화성,2,태양에 가장 가까운 행성은 수성입니다.
quiz,19,지리 상식 퀴즈,지구에서 면적이 가장 큰 대양은 무엇일까요?,정답을 눌러보세요.,대서양 | 인도양 | 북극해 | 태평양,3,태평양은 지구에서 가장 넓은 대양입니다.
quiz,20,대한민국 상식 퀴즈,대한민국의 수도는 어디일까요?,정답을 눌러보세요.,부산 | 서울 | 대전 | 인천,1,대한민국의 수도는 서울입니다.
quiz,21,화학 기초 퀴즈,화학식 H₂O가 나타내는 물질은 무엇일까요?,정답을 눌러보세요.,산소 | 소금 | 물 | 이산화탄소,2,H₂O는 수소 원자 두 개와 산소 원자 한 개로 이루어진 물을 나타냅니다.
quiz,22,생물 기초 퀴즈,식물이 빛에너지를 이용해 양분을 만드는 과정은 무엇일까요?,정답을 눌러보세요.,호흡 | 광합성 | 증발 | 발효,1,식물이 빛에너지를 이용해 양분을 만드는 과정은 광합성입니다.
quiz,23,인체 상식 퀴즈,온몸으로 혈액을 보내는 펌프 역할을 하는 기관은 무엇일까요?,정답을 눌러보세요.,폐 | 간 | 심장 | 위,2,심장은 수축과 이완을 통해 혈액을 순환시킵니다.
quiz,24,분수 퀴즈,4분의 1을 백분율로 나타내면 얼마일까요?,정답을 눌러보세요.,10% | 20% | 25% | 40%,2,1 ÷ 4는 0.25이므로 25%입니다.
quiz,25,수열 퀴즈,"2, 4, 8, 16 다음에 올 수는 무엇일까요?",규칙을 찾아보세요.,18 | 24 | 30 | 32,3,앞의 수에 2를 곱하는 규칙이므로 다음 수는 32입니다.
quiz,26,공간 분류 퀴즈,다음 중 입체도형은 무엇일까요?,정답을 눌러보세요.,원 | 삼각형 | 정사각형 | 정육면체,3,"정육면체는 길이, 너비, 높이를 가진 입체도형입니다."
quiz,27,우리말 퀴즈,앞에서 읽어도 뒤에서 읽어도 같은 말은 무엇일까요?,정답을 눌러보세요.,기러기 | 비둘기 | 참새 | 독수리,0,‘기러기’는 앞뒤로 읽어도 같은 회문입니다.
quiz,28,반대말 퀴즈,‘증가’의 반대말은 무엇일까요?,정답을 눌러보세요.,확장 | 감소 | 유지 | 상승,1,증가는 양이 늘어나는 것이고 감소는 양이 줄어드는 것입니다.
quiz,29,재질문 영어 퀴즈,‘Could you say that again?’은 언제 쓰는 표현일까요?,정답을 눌러보세요.,상대에게 다시 말해 달라고 할 때 | 먼저 가라고 할 때 | 계산하겠다고 할 때 | 작별 인사를 할 때,0,상대의 말을 못 들었거나 이해하지 못했을 때 다시 말해 달라고 요청하는 표현입니다.
quiz,30,비용 영어 퀴즈,‘It’s on me.’의 뜻으로 가장 알맞은 것은 무엇일까요?,정답을 눌러보세요.,제 책임이 아니에요. | 제가 비용을 낼게요. | 제 위에 있어요. | 제가 먼저 갈게요.,1,식사나 음료의 비용을 자신이 부담하겠다는 뜻입니다.
quiz,31,상태 영어 퀴즈,‘Not yet.’의 뜻은 무엇일까요?,정답을 눌러보세요.,이미 했어요. | 절대 안 해요. | 아직 아니에요. | 지금 당장 해요.,2,Not yet은 기대되는 일이 아직 일어나거나 완료되지 않았다는 뜻입니다.
quiz,32,화제 전환 영어 퀴즈,화제를 바꿀 때 자연스럽게 쓸 수 있는 표현은 무엇일까요?,정답을 눌러보세요.,"By the way, | At the end, | On the floor, | In a hurry,",0,"By the way는 ‘그런데, 말이 나온 김에’라는 뜻으로 화제를 전환할 때 씁니다."
quiz,33,복음서 퀴즈,다음 중 사복음서에 포함되지 않는 책은 무엇일까요?,정답을 눌러보세요.,마태복음 | 누가복음 | 사도행전 | 요한복음,2,"사복음서는 마태복음, 마가복음, 누가복음, 요한복음입니다."
quiz,34,성경 인물 퀴즈,십계명을 이스라엘에게 전달한 인물은 누구일까요?,정답을 눌러보세요.,아브라함 | 모세 | 다윗 | 솔로몬,1,출애굽기에서 모세가 시내산에서 계명을 받아 이스라엘에게 전합니다.
quiz,35,주기도문 퀴즈,주기도문이 포함된 장으로 알맞은 것은 무엇일까요?,정답을 눌러보세요.,마태복음 6장 | 마태복음 28장 | 요한복음 1장 | 사도행전 2장,0,주기도문은 마태복음 6장과 누가복음 11장에 기록되어 있습니다.
quiz,36,성령의 열매 퀴즈,성령의 열매가 기록된 책은 무엇일까요?,정답을 눌러보세요.,로마서 | 갈라디아서 | 히브리서 | 요한계시록,1,성령의 열매는 갈라디아서 5장 22–23절에 기록되어 있습니다.
quiz,37,사랑장 퀴즈,사랑의 성품을 길게 설명하여 ‘사랑장’으로 불리는 장은 무엇일까요?,정답을 눌러보세요.,고린도전서 13장 | 로마서 8장 | 히브리서 11장 | 요한계시록 21장,0,고린도전서 13장은 사랑의 성품과 지속성을 설명합니다.
quiz,38,창조 이야기 퀴즈,창세기 창조 이야기에서 하나님이 쉬신 날은 몇째 날일까요?,정답을 눌러보세요.,첫째 날 | 셋째 날 | 여섯째 날 | 일곱째 날,3,창세기 2장에는 하나님이 일곱째 날에 창조 사역을 마치고 쉬셨다고 기록됩니다.
quiz,39,괄호 계산 퀴즈,5 × (3 + 2)의 값은 무엇일까요?,계산 순서를 지켜보세요.,13 | 20 | 25 | 30,2,"괄호 안을 먼저 계산하면 3 + 2 = 5이고, 5 × 5 = 25입니다."
quiz,40,소수와 분수 퀴즈,0.75와 같은 값을 가진 분수는 무엇일까요?,정답을 눌러보세요.,1/4 | 1/2 | 2/3 | 3/4,3,0.75는 75/100이고 약분하면 3/4입니다.
quiz,41,백분율 계산 퀴즈,200의 15%는 얼마일까요?,암산으로 풀어보세요.,15 | 20 | 30 | 40,2,200 × 0.15 = 30입니다.
quiz,42,요일 계산 퀴즈,오늘이 화요일이라면 3일 뒤는 무슨 요일일까요?,하루씩 세어보세요.,수요일 | 목요일 | 금요일 | 토요일,2,"화요일에서 3일 뒤는 수요일, 목요일을 지나 금요일입니다."
quiz,43,시간 환산 퀴즈,2시간 30분은 모두 몇 분일까요?,정답을 눌러보세요.,120분 | 130분 | 150분 | 230분,2,2시간은 120분이고 여기에 30분을 더하면 150분입니다.
quiz,44,영어 발음 퀴즈,다음 중 첫 글자가 묵음으로 발음되는 단어는 무엇일까요?,정답을 눌러보세요.,knife | name | kite | nose,0,knife에서는 첫 글자 k를 발음하지 않고 ‘나이프’에 가깝게 발음합니다.
quiz,45,영어 비교급 퀴즈,형용사 ‘good’의 비교급은 무엇일까요?,정답을 눌러보세요.,gooder | more good | best | better,3,good의 비교급은 better이고 최상급은 best입니다.
quiz,46,영어 문장 퀴즈,빈칸에 알맞은 말은 무엇일까요? ‘There are ___ apples on the table.’,정답을 눌러보세요.,a | an | three | much,2,복수형 apples 앞에는 수를 나타내는 three를 사용할 수 있습니다.
quiz,47,고유명사 퀴즈,다음 중 고유명사는 무엇일까요?,정답을 눌러보세요.,도시 | 강 | 서울 | 학교,2,서울은 특정 도시의 이름이므로 고유명사입니다.
quiz,48,논리 퀴즈,모든 장미는 꽃입니다. 이것이 장미라면 반드시 무엇일까요?,주어진 문장만으로 판단하세요.,나무 | 꽃 | 열매 | 채소,1,모든 장미가 꽃이라는 전제에 따라 이것이 장미라면 꽃입니다.
quiz,49,방향 감각 퀴즈,동쪽을 바라보고 서 있다가 오른쪽으로 90도 돌면 어느 방향일까요?,머릿속으로 방향을 그려보세요.,북쪽 | 남쪽 | 서쪽 | 동쪽,1,동쪽을 바라볼 때 오른쪽은 남쪽입니다.
quiz,50,도형 성질 퀴즈,정사각형의 변은 모두 몇 개일까요?,정답을 눌러보세요.,3개 | 4개 | 5개 | 6개,1,정사각형은 길이가 같은 네 개의 변을 가진 사각형입니다.
